ID,Video ID,Final Label,1st Hotspot Id,1st Hotspot Label,1st Hotspot Dist,2nd Hotspot Id,2nd Hotspot Label,2nd Hotspot Dist,3rd Hotspot Id,3rd Hotspot Label,3rd Hotspot Dist,4th Hotspot Id,4th Hotspot Label,4th Hotspot Dist,5th Hotspot Id,5th Hotspot Label,5th Hotspot Dist,6th Hotspot Id,6th Hotspot Label,6th Hotspot Dist
0,road_h1_s1_a_1,1.0,1,3,18.548452479216582,387,1,0.0,0,0,1000.0,0,0,1000.0,0,0,1000.0,0,0,1000.0
1,road_h1_s2_a_1,3.0,1,3,0.0,387,1,6.18301469552743,0,0,1000.0,0,0,1000.0,0,0,1000.0,0,0,1000.0
2,road_h1_s2_b_1,3.0,1,3,0.0,387,1,6.18301469552743,0,0,1000.0,0,0,1000.0,0,0,1000.0,0,0,1000.0
3,road_h1_s3_a_1,3.388949492485137,1,3,37.909071408683815,171,4,59.5562091511885,0,0,1000.0,0,0,1000.0,0,0,1000.0,0,0,1000.0
4,road_h1_s3_b_1,3.388949492485137,1,3,37.909071408683815,171,4,59.5562091511885,0,0,1000.0,0,0,1000.0,0,0,1000.0,0,0,1000.0
5,road_h1_s4_a_1,3.0,1,3,0.0,387,1,126.89227126014615,0,0,1000.0,0,0,1000.0,0,0,1000.0,0,0,1000.0
6,road_h1_s4_b_1,3.0,1,3,0.0,387,1,126.89227126014615,0,0,1000.0,0,0,1000.0,0,0,1000.0,0,0,1000.0
7,road_h1_s5_a_1,3.0,1,3,0.0,387,1,107.03280146174971,0,0,1000.0,0,0,1000.0,0,0,1000.0,0,0,1000.0
8,road_h1_s5_b_1,3.0,1,3,0.0,387,1,107.03280146174971,0,0,1000.0,0,0,1000.0,0,0,1000.0,0,0,1000.0
9,road_h1_s6_a_1,3.0,1,3,0.0,60,2,103.70953471232913,330,1,122.3074681345413,387,1,115.05790111043058,0,0,1000.0,0,0,1000.0
10,road_h1_s6_b_1,3.0,1,3,0.0,60,2,103.70953471232913,330,1,122.3074681345413,387,1,115.05790111043058,0,0,1000.0,0,0,1000.0
11,road_h10_s1_a,1.3809672978562892,10,3,23.953115960128347,400,1,5.636299903322433,0,0,1000.0,0,0,1000.0,0,0,1000.0,0,0,1000.0
12,road_h10_s1_b,1.3809672978562892,10,3,23.953115960128347,400,1,5.636299903322433,0,0,1000.0,0,0,1000.0,0,0,1000.0,0,0,1000.0
13,road_h10_s2_a,3.0,10,3,0.0,400,1,108.03457890522597,0,0,1000.0,0,0,1000.0,0,0,1000.0,0,0,1000.0
14,road_h10_s2_b,3.0,10,3,0.0,400,1,108.03457890522597,0,0,1000.0,0,0,1000.0,0,0,1000.0,0,0,1000.0
15,road_h10_s3_a,3.0,10,3,0.0,51,2,119.70406797242349,0,0,1000.0,0,0,1000.0,0,0,1000.0,0,0,1000.0
16,road_h10_s3_b,3.0,10,3,0.0,51,2,119.70406797242349,0,0,1000.0,0,0,1000.0,0,0,1000.0,0,0,1000.0
